"player_id","sc_id","player_name","team_abbrev","jersey","pos1","pos2","avg","age","games","P1_SC","P1_TOG","P1_P85","P2_SC","P2_TOG","P2_P85","injury","P_AVG"
1002222,459,"James Worpel","HAW","5","MID",,97.05,20,"33",72,80,76,51,81,54,,65
1008855,460,"Oskar Baker","MEL","33","MID",,48.22,21,"9",,,,,,,,
1008139,461,"Toby Bedford","MEL","12","FWD",,0,19,"",,,,43,32,114,,114
1014081,462,"Austin Bradtke","MEL","46","RUC",,0,19,"",,,,,,,,
298279,463,"Angus Brayshaw","MEL","10","MID",,83.32,23,"80",,,,90,72,106,,106
290622,464,"Mitch Brown","MEL","38","FWD",,66.27,29,"69",66,74,76,,,,,76
1005330,465,"Kade Chandler","MEL","37","FWD",,60,19,"1",,,,,,,"Wrist: 1-2 weeks (2020-03-10)",
1006106,466,"Kyle Dunkley","MEL","48","FWD","MID",47.8,19,"5",,,,,,,"Foot: Test (2020-03-10)",
1001438,467,"Bayley Fritsch","MEL","31","DEF","FWD",76.23,23,"45",,,,102,92,94,,94
290528,468,"Max Gawn","MEL","11","RUC",,128.38,28,"120",,,,68,41,141,,141
1001449,469,"Mitch Hannan","MEL","19","FWD",,41.17,25,"41",,,,,,,"Groin: TBC (2020-03-10)",
297899,470,"James Harmes","MEL","4","MID",,95.09,24,"91",54,86,53,97,84,98,,75.5
290160,471,"Michael Hibberd","MEL","14","DEF",,64.32,29,"142",70,87,68,82,80,87,,77.5
996692,472,"Marty Hore","MEL","34","DEF",,70.64,23,"14",,,,24,38,54,,54
994385,473,"Jayden Hunt","MEL","29","FWD",,58.43,24,"68",,,,,,,,
1009399,474,"Luke Jackson","MEL","6","RUC",,0,18,"",22,59,32,71,49,123,,77.5
281280,475,"Neville Jetta","MEL","39","DEF",,49.86,29,"148",23,82,24,49,75,56,,40
250222,476,"Nathan Jones","MEL","2","DEF","MID",73.27,31,"286",96,46,177,46,44,89,,133
1013409,477,"James Jordon","MEL","23","MID",,0,19,"",0,0,,,,,,
296209,478,"Kade Kolodjashnij","MEL","16","MID",,42.5,24,"80",,,,,,,"Concussion: TBC (2020-03-10)",
1008541,479,"Kysaiah Kropinyeri-Pickett","MEL","36","FWD",,0,18,"",43,70,52,,,,,52
298264,480,"Ed Langdon","MEL","15","MID",,85.86,23,"68",76,95,68,83,92,77,,72.5
298281,481,"Jake Lever","MEL","8","DEF",,70.75,23,"75",66,97,58,83,95,74,,66
298390,482,"Jay Lockhart","MEL","41","FWD",,52.25,23,"12",57,65,75,61,80,65,,70
281085,483,"Steven May","MEL","1","DEF",,70.75,27,"131",,,,98,82,102,,102
